,ID,count,lat,long,ilon,ilat
0,62601,120,-31.2250000538,-70.8750011025,122,515
1,62821,323,-31.2749999623,-70.8750010956,122,514
2,63472,191,-31.4249996506,-71.3250001979,113,511
3,63692,459,-31.4749995437,-71.325000191,113,510
4,63693,864,-31.4749995403,-71.2750002807,114,510
5,63694,419,-31.4749995308,-71.2250003877,115,510
6,63703,538,-31.4749995378,-70.7750012846,124,510
7,63922,441,-31.5249994655,-70.8250011801,123,509
8,64134,119,-31.5749993522,-71.2250003879,115,508
9,64141,223,-31.5749993479,-70.875001096,122,508
10,64142,152,-31.574999351,-70.8250011732,123,508
11,64143,590,-31.5749993452,-70.7750012848,124,508
12,64349,225,-31.624999254,-71.474999906,110,507
13,64350,274,-31.6249992784,-71.4250000109,111,507
14,64568,296,-31.6749991616,-71.5249998035,109,506
15,64569,1526,-31.6749991481,-71.47499992,110,506
16,64570,666,-31.6749991518,-71.425000011,111,506
17,64571,2481,-31.6749991653,-71.3750000926,112,506
18,64572,173,-31.6749991667,-71.3250001913,113,506
19,64578,246,-31.6749991353,-71.0250007682,119,506
20,64583,566,-31.6749991364,-70.775001278,124,506
21,64585,309,-31.6749991568,-70.6750015056,126,506
22,64788,464,-31.7249990616,-71.5249998036,109,505
23,64789,3895,-31.7249990562,-71.4749999061,110,505
24,64790,5167,-31.7249990382,-71.4250000111,111,505
25,64791,2693,-31.7249990422,-71.3750001067,112,505
26,64792,3325,-31.7249990463,-71.3250001914,113,505
27,64797,147,-31.724999042,-71.0750006958,118,505
28,64801,325,-31.7249990434,-70.8750010963,122,505
29,64802,562,-31.7249990388,-70.8250011874,123,505
30,64803,298,-31.7249990396,-70.7750012781,124,505
31,64804,395,-31.7249990366,-70.7250013828,125,505
32,65010,4015,-31.7749989422,-71.4250000112,111,504
33,65011,6575,-31.7749989357,-71.3750000928,112,504
34,65012,4233,-31.7749989413,-71.3250001915,113,504
35,65013,262,-31.7749989514,-71.2750002812,114,504
36,65016,237,-31.7749989553,-71.125000615,117,504
37,65017,171,-31.7749989369,-71.0750007028,118,504
38,65024,119,-31.7749989413,-70.725001376,125,504
39,65025,298,-31.7749989629,-70.6750015128,126,504
40,65026,178,-31.7749989601,-70.625001647,127,504
41,65229,2510,-31.8249988273,-71.4749999133,110,503
42,65230,5627,-31.8249988259,-71.4250000113,111,503
43,65231,6441,-31.8249988288,-71.3750000999,112,503
44,65232,1421,-31.8249988349,-71.3250001985,113,503
45,65233,1991,-31.8249988576,-71.2750002743,114,503
46,65236,1208,-31.8249988666,-71.1250006151,117,503
47,65237,518,-31.8249988459,-71.075000696,118,503
48,65242,433,-31.8249988468,-70.8250011736,123,503
49,65244,341,-31.8249988523,-70.725001383,125,503
50,65245,168,-31.8249988824,-70.6750015128,126,503
51,65449,260,-31.8749987408,-71.4749999064,110,502
52,65450,1036,-31.8749987354,-71.4250000113,111,502
53,65451,653,-31.8749987465,-71.375000093,112,502
54,65452,472,-31.8749987312,-71.3250001986,113,502
55,65453,2300,-31.8749987443,-71.2750002814,114,502
56,65454,722,-31.874998764,-71.2250003814,115,502
57,65455,774,-31.874998761,-71.1750004934,116,502
58,65456,1365,-31.8749987552,-71.1250006152,117,502
59,65457,515,-31.874998752,-71.0750006961,118,502
60,65458,206,-31.8749987499,-71.0250007685,119,502
61,65462,137,-31.8749987465,-70.8250011807,123,502
62,65463,305,-31.8749987442,-70.7750012783,124,502
63,65465,143,-31.874998769,-70.6750015129,126,502
64,65466,136,-31.8749987425,-70.6250016402,127,502
65,65467,235,-31.8749987399,-70.5750017057,128,502
66,65669,1014,-31.924998643,-71.4749999135,110,501
67,65670,4631,-31.9249986327,-71.4250000114,111,501
68,65671,3505,-31.9249986509,-71.3750001,112,501
69,65672,3039,-31.9249986548,-71.3250001848,113,501
70,65673,842,-31.9249986573,-71.2750002885,114,501
71,65675,728,-31.924998647,-71.1750004865,116,501
72,65676,304,-31.9249986456,-71.1250006083,117,501
73,65677,771,-31.9249986588,-71.0750007031,118,501
74,65889,4946,-31.9749985588,-71.4749998996,110,500
75,65890,11200,-31.9749985424,-71.4250000185,111,500
76,65891,7807,-31.9749985456,-71.3750000932,112,500
77,65892,4036,-31.9749985675,-71.3250001988,113,500
78,65893,4094,-31.9749985583,-71.2750002816,114,500
79,65894,270,-31.9749985377,-71.2250003816,115,500
80,65895,122,-31.9749985396,-71.1750004866,116,500
81,65898,173,-31.9749985604,-71.0250007687,119,500
82,66109,4810,-32.0249984707,-71.4749999137,110,499
83,66110,5887,-32.0249984679,-71.4250000047,111,499
84,66111,4891,-32.024998455,-71.3750001072,112,499
85,66112,4713,-32.0249984519,-71.325000192,113,499
86,66113,3372,-32.0249984506,-71.2750002747,114,499
87,66114,5591,-32.0249984501,-71.2250003887,115,499
88,66115,1788,-32.0249984629,-71.1750004867,116,499
89,66116,349,-32.0249984669,-71.1250006225,117,499
90,66329,3350,-32.0749983612,-71.4749999068,110,498
91,66330,3873,-32.0749983707,-71.4250000117,111,498
92,66331,2768,-32.0749983613,-71.3750000934,112,498
93,66332,2809,-32.0749983321,-71.325000199,113,498
94,66333,3022,-32.0749983376,-71.2750002818,114,498
95,66334,2357,-32.0749983558,-71.2250003818,115,498
96,66335,1175,-32.0749983576,-71.1750004937,116,498
97,66336,1281,-32.0749983416,-71.1250006086,117,498
98,66337,1353,-32.0749983341,-71.0750006965,118,498
99,66343,185,-32.0749983539,-70.7750012857,124,498
100,66347,120,-32.0749983445,-70.5750017131,128,498
101,66549,134,-32.1249982541,-71.4749999139,110,497
102,66551,501,-32.1249982678,-71.3750000935,112,497
103,66552,605,-32.124998253,-71.3250001922,113,497
104,66553,1444,-32.1249982431,-71.2750002819,114,497
105,66554,589,-32.124998258,-71.2250003889,115,497
106,66556,129,-32.1249982311,-71.1250006157,117,497
107,66557,193,-32.1249982351,-71.0750007035,118,497
108,66768,474,-32.174998156,-71.5249998115,109,496
109,66769,4234,-32.1749981527,-71.474999907,110,496
110,66770,6895,-32.1749981415,-71.4250000119,111,496
111,66771,2055,-32.1749981565,-71.3750001005,112,496
112,66772,4241,-32.1749981547,-71.3250001923,113,496
