,0
0,162
1,163
2,164
3,165
4,166
5,167
6,174
7,175
8,176
9,177
10,178
11,179
12,180
13,181
14,182
15,188
16,189
17,190
18,191
19,192
20,193
21,194
22,201
23,202
24,203
25,204
26,205
27,206
28,207
29,215
30,216
31,217
32,218
33,219
34,220
35,221
36,229
37,230
38,231
39,232
40,233
41,234
42,244
43,245
44,246
45,247
46,248
47,249
48,250
49,251
50,256
51,257
52,258
53,259
54,260
55,261
56,262
57,269
58,270
59,271
60,272
61,273
62,274
63,280
64,281
65,282
66,283
67,284
68,285
69,286
70,287
71,298
72,299
73,300
74,301
75,302
76,303
77,304
78,314
79,315
80,316
81,317
82,318
83,319
84,320
85,328
86,329
87,330
88,331
89,332
90,333
91,334
92,335
93,336
94,337
95,345
96,346
97,347
98,348
99,349
100,350
101,351
102,352
103,353
104,354
105,355
106,363
107,364
108,365
109,366
110,367
111,368
112,369
113,370
114,371
115,381
116,382
117,383
118,384
119,385
120,386
121,387
122,388
123,389
124,399
125,400
126,401
127,402
128,403
129,404
130,405
131,406
132,407
133,419
134,420
135,421
136,422
137,423
138,424
139,425
140,441
141,442
142,443
143,444
144,445
145,446
146,447
147,460
148,461
149,462
150,463
151,464
152,465
153,466
154,467
155,477
156,478
157,479
158,480
159,481
160,482
161,483
162,493
163,494
164,495
165,496
166,497
167,511
168,512
169,513
170,514
171,528
172,542
173,543
174,544
175,559
176,560
177,561
178,562
179,563
180,564
181,580
182,581
183,582
184,583
185,584
186,585
187,586
188,587
189,588
190,589
191,590
192,591
193,592
194,593
195,602
196,603
197,604
198,605
199,606
200,607
201,608
202,609
203,610
204,611
205,612
206,613
207,614
208,615
209,616
210,620
211,621
212,622
213,623
214,624
215,625
216,626
217,627
218,628
219,629
220,630
221,631
222,632
223,633
224,634
225,635
226,636
227,637
228,638
229,639
230,640
231,641
232,642
233,643
234,644
235,645
236,646
237,647
238,648
239,649
240,650
241,651
242,652
243,653
244,654
245,655
246,656
247,657
248,658
249,659
250,660
251,661
252,662
253,663
254,664
255,665
256,666
257,667
258,668
259,669
260,670
261,671
262,672
263,673
264,674
265,675
266,676
267,677
268,678
269,679
270,680
271,681
272,682
273,683
274,684
275,685
276,686
277,687
278,688
279,689
280,690
281,691
282,692
283,693
284,694
285,695
286,696
287,697
288,698
289,699
290,700
291,701
292,702
293,703
294,704
295,705
296,706
297,707
298,708
299,709
300,710
301,711
302,712
303,713
304,714
305,715
306,716
307,717
308,718
309,719
310,720
311,721
312,722
313,723
314,724
315,725
316,726
317,727
318,728
319,729
320,730
321,731
322,732
323,733
324,734
325,735
326,736
327,737
328,738
329,739
330,740
331,741
332,742
333,743
334,744
335,745
336,746
337,747
338,748
339,749
340,750
341,751
342,752
343,753
344,754
345,755
346,756
347,757
348,758
349,759
350,760
351,761
352,762
353,763
354,764
355,765
356,766
357,767
358,768
359,769
360,770
361,771
362,772
363,773
364,774
365,775
366,776
367,778
368,779
369,780
370,781
371,782
372,783
373,784
374,785
375,786
376,787
377,788
378,789
379,790
380,791
381,792
382,793
383,794
384,795
385,796
386,797
387,798
388,799
389,800
390,801
391,802
392,803
393,804
394,805
395,806
396,807
397,808
398,809
399,810
400,811
401,812
402,813
403,814
404,815
405,817
406,818
407,819
408,820
409,821
410,822
411,823
412,824
413,825
414,826
415,827
416,828
417,829
418,830
419,831
420,832
421,833
422,834
423,835
424,836
425,837
426,838
427,840
428,841
429,842
430,843
431,844
432,845
433,846
434,847
435,848
436,849
437,850
438,851
439,852
440,853
441,854
442,855
443,856
444,857
445,858
446,859
447,860
448,861
449,862
450,863
451,864
452,865
453,866
454,867
455,868
456,869
457,870
458,871
459,872
460,873
461,874
462,875
463,876
464,877
465,878
466,879
467,880
468,881
469,882
470,883
471,884
472,885
473,886
474,887
475,888
476,889
477,890
478,891
479,892
480,893
481,894
482,895
483,896
484,897
485,898
486,899
487,900
488,901
489,902
490,903
491,904
492,905
493,906
494,907
495,908
496,909
497,910
498,911
499,912
500,913
501,914
502,915
503,916
504,917
505,918
506,919
507,920
508,921
509,922
510,923
511,924
512,925
513,926
514,927
515,928
516,929
517,930
518,931
519,932
520,933
521,934
522,935
523,936
524,937
525,938
526,939
527,940
528,941
529,942
530,943
531,944
532,945
533,946
534,947
535,948
536,949
537,950
538,951
539,952
540,953
541,954
542,955
543,956
544,957
545,958
546,959
547,960
548,961
549,962
550,963
551,964
552,965
553,966
554,967
555,968
556,969
557,970
558,971
559,972
560,973
561,974
562,975
563,976
564,977
565,978
566,979
567,980
568,981
569,982
570,983
571,984
572,985
573,986
574,987
575,988
576,989
577,990
578,991
579,992
580,993
581,994
582,995
583,996
584,997
585,998
586,999
587,1000
588,1001
589,1002
590,1003
591,1004
592,1005
593,1006
594,1007
595,1008
596,1009
597,1010
598,1011
599,1012
600,1013
601,1014
602,1015
603,1016
604,1017
605,1018
606,1019
607,1020
